sample_id	beer	country	brewery  project_id
SRR5740354	La Tourbillon	Switzerland	Brasseurs de Vollèges  PRJNA388541
SRR5740355	Calvinus Blanche	Switzerland	Frères Papinot  PRJNA388541
SRR5740356	Delirium Tremens	Belgium	Brouwerij Huyghe  PRJNA388541
SRR5740357	Houleuse	Switzerland	Docteur Gabs  PRJNA388541
SRR5740358	Blonde	Switzerland	Coudres  PRJNA388541
SRR5740359	Pale Ale	Switzerland	Coudres  PRJNA388541
SRR5740360	Pepite	Switzerland	Docteur Gabs  PRJNA388541
SRR5740361	Tempète	Switzerland	Docteur Gabs  PRJNA388541
SRR5740362	Waldbier 2014 Wienerwald	Austria	Trumer  PRJNA388541
SRR5740363	Embuscade	Switzerland	La Nebuleuse  PRJNA388541
SRR5740364	ChichaBeer experimental	Switzerland	La Nébuleuse  PRJNA388541
SRR5740365	SquareBeer	Switzerland	Homebrew  PRJNA388541
SRR5740366	Roter Baron	Switzerland	Homebrew  PRJNA388541
SRR5740367	Amber Ale	Switzerland	Homebrew  PRJNA388541
SRR5740368	Fakufaku	Switzerland	Hackuarium  PRJNA388541
SRR5740369	Browney	Switzerland	La Mule  PRJNA388541
SRR5740370	La Montheysanne	Switzerland	Brasserie Montheysanne  PRJNA388541
SRR5740371	La cotta bionda	Italy	La cotta  PRJNA388541
SRR5740372	Hoppy Couple	Italy	Birrificio Trunasse  PRJNA388541
SRR5740373	Mateo 21	Spain	Mateo & Bernabe  PRJNA388541
SRR5740374	Orval	Belgium	Brasserie dOrval  PRJNA388541
SRR5740375	La Fraicheur	Switzerland	Trois Dames  PRJNA388541
SRR5740376	Valaisanne Amrich	Switzerland	Valaisanne (Feldschlösschen)  PRJNA388541
SRR5740377	Stirling	Switzerland	La Nebuleuse  PRJNA388541
SRR5740378	Malt Capone	Switzerland	La Nebuleuse  PRJNA388541
SRR5890763	Old Warehouse	United States	Epic Ales  PRJNA388541
7093173	Chimay	Belgium	Chimay Brewery
6862301	Chimay	Belgium	Chimay Brewery
6620898	 la trappe	Netherlands	De Koningshoeven Brewery
